date,Aspropirgos,Galatsi,Kiourka,Menidi,Total
1996-05-11,0,380620,120780,467810,969210
1996-05-12,0,345140,103220,442470,890830
1996-05-13,0,369870,91780,447140,908790
1996-05-14,0,362680,91070,451360,905110
1996-05-15,0,360470,97680,451590,909740
1996-05-16,0,359620,94530,441480,895630
1996-05-17,0,366960,107360,454960,929280
1996-05-18,0,369800,124970,486150,980920
1996-05-19,0,340350,115950,464000,920300
1996-05-20,0,355700,101870,497900,955470
1996-05-21,0,358820,93300,470840,922960
1996-05-22,0,368730,101290,511360,981380
1996-05-23,0,361260,95720,493110,950090
1996-05-24,0,373150,99550,500650,973350
1996-05-25,0,357950,101780,504150,963880
1996-05-26,0,319950,102980,460480,883410
1996-05-27,0,360180,81520,497380,939080
1996-05-28,0,350310,82200,484120,916630
1996-05-29,0,300830,71890,458410,831130
1996-05-30,0,328510,63110,422690,814310
1996-05-31,0,262220,82640,420850,765710
1996-06-01,0,334660,102770,424570,862000
1996-06-02,0,319120,102940,402460,824520
1996-06-03,0,326870,108440,432070,867380
1996-06-04,0,359740,81690,462010,903440
1996-06-05,0,357540,86090,477310,920940
1996-06-06,0,368170,93330,475790,937290
1996-06-07,0,377380,90220,474540,942140
1996-06-08,0,374590,98590,497050,970230
1996-06-09,0,330200,119670,479660,929530
1996-06-10,0,370520,100440,497380,968340
1996-06-11,0,371630,100190,503050,974870
1996-06-12,0,381990,104090,498780,984860
1996-06-13,0,372660,116370,516540,1005570
1996-06-14,0,393910,111990,504570,1010470
1996-06-15,0,332780,120580,484560,937920
1996-06-16,0,313170,119970,452670,885810
1996-06-17,0,319080,95550,533440,948070
1996-06-18,0,326460,100140,492940,919540
1996-06-19,0,335600,108120,497780,941500
1996-06-20,0,353230,104270,488530,946030
1996-06-21,0,349440,111290,514580,975310
1996-06-22,0,344260,125930,497630,967820
1996-06-23,0,318410,129470,486570,934450
1996-06-24,0,343410,107980,517270,968660
1996-06-25,0,370920,103150,519060,993130
1996-06-26,0,361310,116340,517370,995020
1996-06-27,0,356610,111270,504260,972140
1996-06-28,0,346070,111390,505690,963150
1996-06-29,0,334230,133690,500750,968670
1996-06-30,0,316730,127510,477000,921240
1996-07-01,0,345530,114470,528260,988260
1996-07-02,0,314830,120200,512180,947210
1996-07-03,0,349840,131220,531590,1012650
1996-07-04,0,387930,136850,553350,1078130
1996-07-05,0,358450,142200,542910,1043560
1996-07-06,0,358270,166080,528090,1052440
1996-07-07,0,314360,151360,503810,969530
1996-07-08,0,357340,140780,547440,1045560
1996-07-09,0,371370,141990,534480,1047840
1996-07-10,0,365790,137060,525840,1028690
1996-07-11,0,366890,120040,515030,1001960
1996-07-12,0,350730,129390,512300,992420
1996-07-13,0,329670,135090,505640,970400
1996-07-14,0,316400,129130,493130,938660
1996-07-15,0,359930,132660,521700,1014290
1996-07-16,0,357810,126250,522360,1006420
1996-07-17,0,354940,119410,512680,987030
1996-07-18,0,341410,120570,491750,953730
1996-07-19,0,334880,121940,482670,939490
1996-07-20,0,315180,130840,491570,937590
1996-07-21,0,323510,127890,459850,911250
1996-07-22,0,319180,121090,511270,951540
1996-07-23,0,327960,110330,483860,922150
1996-07-24,0,342200,122100,508000,972300
1996-07-25,0,320600,116390,507630,944620
1996-07-26,0,340630,127610,507030,975270
1996-07-27,0,323960,136050,488770,948780
1996-07-28,0,298750,132910,467590,899250
1996-07-29,0,329340,129210,526320,984870
1996-07-30,0,332050,131470,522590,986110
1996-07-31,0,338940,128690,466300,933930
1996-08-01,0,335600,132320,496760,964680
1996-08-02,0,338660,131240,495520,965420
1996-08-03,0,310000,130600,487320,927920
1996-08-04,0,295310,144500,463970,903780
1996-08-05,0,314100,127440,504570,946110
1996-08-06,0,327050,116010,509080,952140
1996-08-07,0,347250,139450,489240,975940
1996-08-08,0,315540,130010,493710,939260
1996-08-09,0,294820,127340,457150,879310
1996-08-10,0,277330,123790,425980,827100
1996-08-11,0,251020,122090,423190,796300
1996-08-12,0,292030,117640,463720,873390
1996-08-13,0,283690,116880,456560,857130
1996-08-14,0,274350,122420,455440,852210
1996-08-15,0,254370,119990,398910,773270
1996-08-16,0,278800,123510,450130,852440
1996-08-17,0,290860,127480,434930,853270
1996-08-18,0,277310,133400,444570,855280
1996-08-19,0,301280,108290,461450,871020
1996-08-20,0,271000,102790,427980,801770
1996-08-21,0,287050,110490,445740,843280
1996-08-22,0,305880,116890,454910,877680
1996-08-23,0,300530,102120,440960,843610
1996-08-24,0,288110,116760,448600,853470
1996-08-25,0,272240,115710,453430,841380
1996-08-26,0,310920,111130,495740,917790
1996-08-27,0,349750,113890,491010,954650
1996-08-28,0,327950,115950,497140,941040
1996-08-29,0,328940,109990,491550,930480
1996-08-30,0,335620,114440,506590,956650
1996-08-31,0,330790,132550,501630,964970
1996-09-01,0,319510,114520,483060,917090
1996-09-02,0,348300,129510,512610,990420
1996-09-03,0,339470,100870,510930,951270
1996-09-04,0,343410,104700,511580,959690
1996-09-05,0,339360,104350,521580,965290
1996-09-06,0,342160,104410,508290,954860
1996-09-07,0,323360,115830,514080,953270
1996-09-08,0,299710,92520,449170,841400
1996-09-09,0,332490,85880,489830,908200
1996-09-10,0,340300,83640,473970,897910
1996-09-11,0,346190,89180,483010,918380
1996-09-12,0,335180,90210,478740,904130
1996-09-13,0,358260,92390,489550,940200
1996-09-14,0,351690,111910,498860,962460
1996-09-15,0,331870,113810,482260,927940
1996-09-16,0,362180,83580,501580,947340
1996-09-17,0,341070,86310,477940,905320
1996-09-18,0,357720,83010,488820,929550
1996-09-19,0,356790,85660,488750,931200
1996-09-20,0,343500,81620,466690,891810
1996-09-21,0,333120,75580,462820,871520
1996-09-22,0,310230,79680,426610,816520
1996-09-23,0,348700,77150,457010,882860
1996-09-24,0,352300,74460,477700,904460
1996-09-25,0,355440,79140,479070,913650
1996-09-26,0,345340,81360,487470,914170
1996-09-27,0,321910,73950,431280,827140
1996-09-28,0,334170,76650,461230,872050
1996-09-29,0,326070,74870,428510,829450
1996-09-30,0,344950,71650,439490,856090
1996-10-01,0,345550,70820,448490,864860
1996-10-02,0,342290,74450,462750,879490
1996-10-03,0,337450,78440,462140,878030
1996-10-04,0,352930,75900,469130,897960
1996-10-05,0,347090,81210,486540,914840
1996-10-06,0,316400,78900,428680,823980
1996-10-07,0,322750,81510,429380,833640
1996-10-08,0,348020,72280,428180,848480
1996-10-09,0,265620,69400,446010,781030
1996-10-10,0,308280,65930,447780,821990
1996-10-11,0,307000,70530,473710,851240
1996-10-12,0,352460,73040,460360,885860
1996-10-13,0,325840,73080,431180,830100
1996-10-14,0,317940,70270,429720,817930
1996-10-15,0,348940,67290,445540,861770
1996-10-16,0,362150,75960,430300,868410
1996-10-17,0,333130,72530,421170,826830
1996-10-18,0,330290,65840,422650,818780
1996-10-19,0,358190,76010,452730,886930
1996-10-20,0,308550,72950,419400,800900
1996-10-21,0,250990,62350,459240,772580
1996-10-22,0,184180,67330,559190,810700
1996-10-23,0,173950,73270,530940,778160
1996-10-24,0,189370,69490,536130,794990
1996-10-25,0,224690,72690,520540,817920
1996-10-26,0,283240,76230,458320,817790
1996-10-27,0,269880,78190,399680,747750
1996-10-28,0,288900,79410,436360,804670
1996-10-29,0,314050,74050,429900,818000
1996-10-30,0,321750,71700,443680,837130
1996-10-31,0,300260,67030,431700,798990
1996-11-01,0,310530,65360,405650,781540
1996-11-02,0,324340,73530,446260,844130
1996-11-03,0,295220,75370,417720,788310
1996-11-04,0,306290,74760,433900,814950
1996-11-05,0,306970,74770,424330,806070
1996-11-06,0,308620,69260,441230,819110
1996-11-07,0,307980,68540,424440,800960
1996-11-08,0,319340,68970,410400,798710
1996-11-09,0,322560,81630,453560,857750
1996-11-10,0,297920,87360,416120,801400
1996-11-11,0,314890,70080,429490,814460
1996-11-12,0,306380,66640,428930,801950
1996-11-13,0,323570,69790,388750,782110
1996-11-14,0,307130,66480,437110,810720
1996-11-15,0,320110,70160,429660,819930
1996-11-16,0,325220,75130,450990,851340
1996-11-17,0,295490,85990,400330,781810
1996-11-18,0,313850,68400,394530,776780
1996-11-19,0,303460,69120,412630,785210
1996-11-20,0,320640,63910,415600,800150
1996-11-21,0,308870,68510,391460,768840
1996-11-22,0,310540,67600,429030,807170
1996-11-23,0,331370,99880,444920,876170
1996-11-24,0,291620,73600,393580,758800
1996-11-25,0,295130,61340,386580,743050
1996-11-26,0,301760,61760,397170,760690
1996-11-27,0,321790,62920,392670,777380
1996-11-28,0,324610,63160,404590,792360
1996-11-29,0,300240,60300,400970,761510
